Unnamed: 0,Brand me,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price,Gender 
0,"LG V30+ (Black, 128 )",4.3,4,128,6,48,13,4000,24999,Male
1,I Kall K11,3.4,6,64,4.5,48,12,4000,15999,Female
2,Nokia 105 ss,4.3,4,4,4.5,64,16,4000,15000,Female
3,"Samsung Galaxy A50 (White, 64 )",4.4,6,64,6.4,48,15,3800,18999,Male
4,"POCO F1 (Steel Blue, 128 )",4.5,6,128,6.18,35,15,3800,18999,Female
5,"Apple iPhone 11 Pro (Space Grey, 512 )",4.7,8,128,5.8,35,12,5000,140300,Male
6,"Samsung Galaxy A70s (Prism Crush Red, 128 )",4.4,8,128,6.7,64,5,4700,29999,Female
7,"Samsung Galaxy S10 Lite (Prism Blue, 512 )",4.5,8,128,6.7,48,12,4700,47999,Male
8,"OPPO A9 (Marble Green, 128 )",4.4,4,128,6.53,48,2,4020,16490,Female
9,"POCO F1 (Graphite Black, 256 )",4.5,8,256,6.18,35,5,3800,22999,Male
10,Megus Ultra,3.9,6,32,4.54,64,8,4100,1099,Female
11,Jmax M40 Coo of Two,3.8,6,32,4.5,64,8,1050,1299,Male
12,"Wizphone WP (Black, 16 )",,2,16,5.5,8,,4200,5498,Female
13,Easyfone Star,3.8,6,32,4.7,64,8,3000,3999,Male
14,"OnePlus 7 Pro (Nebula Blue, 256 )",4.5,8,256,6.67,48,8,3800,43999,Female
15,"OnePlus 7 Pro (Mirror Grey, 128 )",4.6,6,128,6.67,48,8,3800,42990,Male
16,Kechaoda A27,4.1,6,32,3.7,64,,4700,990,Female
17,"Samsung Galaxy S20+ (Cloud Blue, 128 )",4.5,8,128,6.7,64,1,4700,77999,Male
18,"Samsung Galaxy S10 Lite (Prism Black, 512 )",4.5,8,128,6.7,48,12,4700,47999,Female
19,"OPPO A5s (Red, 32 )",4.3,2,32,6.2,38,2,4230,12990,Male
20,InFocus POWER 2,4.1,8,64,4.54,64,,2500,1199,Female
21,Blacear I7 Trio,3.7,6,32,2,64,13,1550,1699,Male
22,Karbonn K451 Power,3.8,6,32,4.54,48,,3000,1349,Female
23,Micax X742,3.8,6,32,4.54,25,23,3000,1240,Male
24,Snexian Guru 332,,6,32,4.5,64,32,3000,649,Female
25,Snexian Guru 332,,6,32,4.5,64,13,3000,649,Male
26,Blacear i7 Trio,3.8,12,24,2,64,,1550,1690,Female
27,Karbonn K334,3.7,6,32,4.77,48,,1750,927,Male
28,Lava Prime X,4.1,,32,4.5,64,23,3000,1599,Female
29,I Kall K23 New Mobile,3.6,8,32,4.5,48,,3000,649,Male
30,InFocus Selfie C1,3.9,6,32,4.5,64,15,3000,999,Female
31,"LG G8X (Black, 128 )",4.5,6,128,6.4,35,13,3800,54990,Male
32,"Gee A1 (Grey, 64 )",4,4,64,5.5,38,1,4010,21499,Female
33,"Tecno Camon 15 Pro (Opal White, 128 )",4.2,6,128,6.53,48,2,3800,15999,Male
34,Lava A7,4.2,6,24,4.54,48,,1750,1799,Female
35,"Apple iPhone XR ((PRODUCT)RED, 128 )",4.6,12,128,6.1,35,7,3500,573000,Male
36,Micax X749,4.2,6,32,4.54,48,18,1750,1549,Female
37,Itel it2161,4,6,32,4.5,48,,3000,847,Male
38,Karbonn K-Pebble,3.9,12,12,4.54,48,13,3000,1579,Female
39,Karbonn KX21,3.9,6,32,4.54,48,5,3000,1330,Male
40,Inovu A9,3.6,6,32,4.54,38,,1200,945,Female
41,Inovu A9,3.6,6,32,4.54,38,0,1200,945,Male
42,"LG Q Stylus (Black, 32 )",3.8,3,32,6.2,48,8,3000,15899,Female
43,"OPPO R17 Pro (Emerald Green, 128 )",4.1,8,128,6.4,35,20,3000,31590,Male
44,Micax X516,3.9,6,32,4.77,48,,1750,1451,Female
45,"Meizu C9 Pro (Black, 32 )",4.1,3,32,5.4,38,5,3000,7490,Male
46,Jivi R21Plus,4.3,1,16,4.5,48,,3000,798,Female
47,Jivi R21Plus,4.3,1,16,4.5,48,2,3000,869,Male
48,Nokia 3310 DS,3.8,4,64,4.54,48,,1200,3580,Female
49,Lava 34 ,4,6,32,4.54,64,14,2500,1695,Male
50,Easyfone Amico,3.5,6,32,4.52,48,,3800,2599,Female
51,"Apple iPhone 11 Pro Max (Gold, 64 )",4.7,8,64,6.5,35,12,3000,117100,Male
52,"Samsung Galaxy S8 Plus (Midnight Black, 64 )",4.6,4,64,6.2,35,8,3500,53990,Female
53,"Black Shark 2 (Shadow Black, 128 )",4.4,6,128,6.39,48,12,3800,31999,Male
54,Karbonn K24 Plus Pro,3.8,6,32,4.54,48,,2800,1299,Female
55,InFocus POWER 2,4.1,8,64,4.54,64,13,2500,1390,Male
56,InFocus Vibe 1,3.6,6,32,4.5,48,,3000,898,Female
57,Blacear B5 Grip,3.5,6,32,4.5,64,17,1050,799,Male
58,"Apple iPhone 11 Pro (Space Grey, 256 )",4.7,12,256,5.8,35,12,3800,121300,Female
59,JIVI JV 12M,3.7,10,32,4.5,64,,3000,799,Male
60,"Alcatel 5V (Spectrum Blue, 32 )",4.4,3,32,6.2,48,1,3800,9790,Female
61,Kechaoda A32,3.8,6,32,4.4,48,,3000,930,Male
62,Kechaoda A32,3.8,6,32,4.4,48,,3000,930,Female
63,"Redmi Note 5 Pro (Gold, 64 )",4.5,6,64,5.99,35,5,3800,13999,Male
64,Salora Vishaal,3.8,6,32,4.54,64,,4100,1149,Female
65,"Redmi K20 (Flame Red, 128 )",4.5,6,128,6.39,48,13,3800,24999,Male
66,"Apple iPhone 8 (PRODUCT)RED (Red, 256 )",4.7,12,256,4.7,35,7,5000,56999,Female
67,"Apple iPhone 11 (Yellow, 64 )",4.7,8,64,6.1,35,12,3800,68300,Male
68,"Gee F103 Pro (Grey, 16 )",3.9,3,16,5,38,5,4200,8798,Female
